sp_name,launch_clock_latency,clock_latency_mean,clock_latency_std
sub1_data_reg_reg[2]/CLK,588.710144,588.710144,0.000000
sub1_data_reg_reg[3]/CLK,544.868042,544.868042,0.000000
sub1_data_reg_reg[5]/CLK,541.041931,541.041931,0.000000
mix1_data_o_reg_reg[94]/CLK,588.513062,588.513062,0.000000
ks1_key_reg_reg[112]/CLK,590.398804,590.398804,0.000000
mix1_data_o_reg_reg[96]/CLK,587.521301,587.521301,0.000000
mix1_data_o_reg_reg[40]/CLK,585.942383,585.942383,0.000000
mix1_data_o_reg_reg[114]/CLK,589.190247,589.190247,0.000000
mix1_data_o_reg_reg[126]/CLK,574.968262,574.968262,0.000000
mix1_data_o_reg_reg[98]/CLK,571.692444,571.692444,0.000000
mix1_data_o_reg_reg[42]/CLK,552.582397,552.582397,0.000000
mix1_data_o_reg_reg[64]/CLK,587.077698,587.077698,0.000000
mix1_data_o_reg_reg[116]/CLK,589.716614,589.716614,0.000000
mix1_data_o_reg_reg[50]/CLK,589.203796,589.203796,0.000000
mix1_data_o_reg_reg[84]/CLK,589.451599,589.451599,0.000000
mix1_data_o_reg_reg[48]/CLK,582.9104,582.910400,0.000000
mix1_data_o_reg_reg[34]/CLK,581.657349,581.657349,0.000000
mix1_data_o_reg_reg[62]/CLK,587.132141,587.132141,0.000000
mix1_data_o_reg_reg[52]/CLK,589.43512,589.435120,0.000000
sbox1_ah_reg_reg[1]/CLK,335.579041,335.579041,0.000000
sub1_data_reg_reg[16]/CLK,588.238403,588.238403,0.000000
mix1_data_o_reg_reg[82]/CLK,587.140503,587.140503,0.000000
mix1_data_o_reg_reg[72]/CLK,584.516296,584.516296,0.000000
mix1_data_o_reg_reg[30]/CLK,588.318665,588.318665,0.000000
mix1_data_o_reg_reg[68]/CLK,554.729736,554.729736,0.000000
mix1_data_o_reg_reg[8]/CLK,586.930054,586.930054,0.000000
mix1_data_o_reg_reg[0]/CLK,587.17157,587.171570,0.000000
sub1_data_reg_reg[18]/CLK,588.511841,588.511841,0.000000
sub1_data_reg_reg[36]/CLK,554.130249,554.130249,0.000000
sub1_data_reg_reg[118]/CLK,554.530396,554.530396,0.000000
sub1_data_reg_reg[22]/CLK,552.579834,552.579834,0.000000
sub1_data_reg_reg[38]/CLK,554.344177,554.344177,0.000000
sub1_data_reg_reg[86]/CLK,554.217529,554.217529,0.000000
sub1_data_reg_reg[54]/CLK,553.753418,553.753418,0.000000
sub1_data_reg_reg[100]/CLK,553.643982,553.643982,0.000000
sub1_data_reg_reg[32]/CLK,554.743225,554.743225,0.000000
sub1_data_reg_reg[89]/CLK,553.280273,553.280273,0.000000
sub1_data_reg_reg[33]/CLK,553.138855,553.138855,0.000000
addroundkey_data_reg_reg[20]/CLK,590.811829,590.811829,0.000000
sub1_data_reg_reg[113]/CLK,551.347656,551.347656,0.000000
ks1_key_reg_reg[127]/CLK,542.849365,542.849365,0.000000
ks1_key_reg_reg[121]/CLK,333.718536,333.718536,0.000000
addroundkey_data_reg_reg[90]/CLK,588.746887,588.746887,0.000000
ks1_key_reg_reg[122]/CLK,590.383789,590.383789,0.000000
ks1_state_reg[2]/CLK,174.434784,174.434784,0.000000
mix1_ready_o_reg/CLK,174.009995,174.009995,0.000000
ks1_key_reg_reg[97]/CLK,334.319641,334.319641,0.000000
mix1_data_o_reg_reg[11]/CLK,552.799072,552.799072,0.000000
sub1_ready_o_reg/CLK,130.74054,130.740540,0.000000
mix1_data_o_reg_reg[109]/CLK,463.094177,463.094177,0.000000
ks1_key_reg_reg[117]/CLK,542.902344,542.902344,0.000000
sub1_data_reg_reg[97]/CLK,553.263062,553.263062,0.000000
ks1_key_reg_reg[123]/CLK,485.452148,485.452148,0.000000
sub1_data_reg_reg[51]/CLK,552.802063,552.802063,0.000000
sub1_data_reg_reg[57]/CLK,553.590515,553.590515,0.000000
mix1_data_o_reg_reg[77]/CLK,455.918213,455.918213,0.000000
ks1_key_reg_reg[81]/CLK,546.985657,546.985657,0.000000
mix1_data_o_reg_reg[81]/CLK,551.54126,551.541260,0.000000
ks1_key_reg_reg[71]/CLK,542.899048,542.899048,0.000000
ks1_key_reg_reg[21]/CLK,486.205475,486.205475,0.000000
mix1_data_o_reg_reg[71]/CLK,537.767883,537.767883,0.000000
ks1_key_reg_reg[7]/CLK,486.371185,486.371185,0.000000
mix1_data_o_reg_reg[53]/CLK,541.891846,541.891846,0.000000
ks1_key_reg_reg[99]/CLK,546.979553,546.979553,0.000000
sub1_data_reg_reg[65]/CLK,553.142029,553.142029,0.000000
sub1_data_reg_reg[19]/CLK,552.148315,552.148315,0.000000
ks1_key_reg_reg[119]/CLK,486.009674,486.009674,0.000000
ks1_key_reg_reg[101]/CLK,484.140869,484.140869,0.000000
mix1_data_o_reg_reg[59]/CLK,561.251648,561.251648,0.000000
mix1_data_o_reg_reg[32]/CLK,588.417969,588.417969,0.000000
ks1_key_reg_reg[67]/CLK,543.249939,543.249939,0.000000
ks1_key_reg_reg[39]/CLK,542.907776,542.907776,0.000000
ks1_key_reg_reg[17]/CLK,543.244629,543.244629,0.000000
mix1_data_o_reg_reg[80]/CLK,574.318726,574.318726,0.000000
mix1_data_o_reg_reg[66]/CLK,581.931458,581.931458,0.000000
mix1_data_o_reg_reg[91]/CLK,557.532532,557.532532,0.000000
sub1_data_reg_reg[1]/CLK,380.681824,380.681824,0.000000
mix1_data_o_reg_reg[58]/CLK,570.62439,570.624390,0.000000
mix1_data_o_reg_reg[95]/CLK,463.334839,463.334839,0.000000
mix1_data_o_reg_reg[63]/CLK,546.840881,546.840881,0.000000
mix1_data_o_reg_reg[104]/CLK,571.68457,571.684570,0.000000
mix1_data_o_reg_reg[90]/CLK,572.765381,572.765381,0.000000
mix1_data_o_reg_reg[69]/CLK,486.240479,486.240479,0.000000
ks1_key_reg_reg[37]/CLK,485.472473,485.472473,0.000000
sub1_data_reg_reg[115]/CLK,552.141968,552.141968,0.000000
sub1_data_reg_reg[83]/CLK,552.831421,552.831421,0.000000
mix1_data_o_reg_reg[61]/CLK,431.509155,431.509155,0.000000
ks1_key_reg_reg[87]/CLK,485.048279,485.048279,0.000000
ks1_key_reg_reg[125]/CLK,332.798248,332.798248,0.000000
mix1_data_o_reg_reg[45]/CLK,479.400696,479.400696,0.000000
ks1_key_reg_reg[35]/CLK,543.119446,543.119446,0.000000
mix1_data_o_reg_reg[93]/CLK,424.984619,424.984619,0.000000
ks1_key_reg_reg[115]/CLK,332.737915,332.737915,0.000000
ks1_key_reg_reg[23]/CLK,485.297577,485.297577,0.000000
mix1_data_o_reg_reg[47]/CLK,472.133453,472.133453,0.000000
ks1_key_reg_reg[55]/CLK,485.079803,485.079803,0.000000
mix1_data_o_reg_reg[79]/CLK,479.488922,479.488922,0.000000
ks1_key_reg_reg[103]/CLK,486.374542,486.374542,0.000000
mix1_data_o_reg_reg[85]/CLK,465.773987,465.773987,0.000000
sub1_data_reg_reg[29]/CLK,553.142212,553.142212,0.000000
mix1_data_o_reg_reg[27]/CLK,555.947937,555.947937,0.000000
sub1_data_reg_reg[31]/CLK,547.783203,547.783203,0.000000
ks1_key_reg_reg[13]/CLK,484.18866,484.188660,0.000000
sub1_data_reg_reg[49]/CLK,550.349548,550.349548,0.000000
ks1_key_reg_reg[15]/CLK,485.889465,485.889465,0.000000
mix1_state_reg[0]/CLK,-10.4,-10.400000,0.000000
mix1_data_o_reg_reg[111]/CLK,537.064087,537.064087,0.000000
mix1_data_o_reg_reg[26]/CLK,573.923157,573.923157,0.000000
round_reg[3]/CLK,-33.599998,-33.599998,0.000000
mix1_data_o_reg_reg[107]/CLK,211.549194,211.549194,0.000000
